Item,Unnamed: 0,Item,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
187,187,Peppers sweet per lb. (453.6 gm),2020,2.493,2.430,2.437, , , , , , , , , 
188,188,Broccoli per lb. (453.6 gm),2018,1.823,1.831,1.794,1.802,1.778,1.842,1.822,1.849,1.756,1.912,1.954,2.074
189,189,Broccoli per lb. (453.6 gm),2019,2.072,2.050,2.114,2.042,1.932,1.944,1.911,1.969,1.944,2.044,2.065,1.854
190,190,Broccoli per lb. (453.6 gm),2020,1.956,2.052,1.971, , , , , , , , , 
191,191,Orange juice frozen concentrate 12 oz. can per 16 oz. (473.2 ml),2018,2.521,2.538,2.513,2.481,2.481,2.469,2.504,2.440,2.493,2.478,2.475,2.434
192,192,Orange juice frozen concentrate 12 oz. can per 16 oz. (473.2 ml),2019,2.407,2.427,2.450,2.448,2.454,2.486,2.404,2.416,2.414,2.369,2.264,2.336
193,193,Orange juice frozen concentrate 12 oz. can per 16 oz. (473.2 ml),2020,2.321,2.319,2.277,2.398,2.375,2.360,2.339,2.339,2.257,2.307,2.285,2.333
194,194,Orange juice frozen concentrate 12 oz. can per 16 oz. (473.2 ml),2021,2.341,2.359,2.285,2.364,2.387,2.594,2.612,2.580,2.544,2.631,2.651,2.654
195,195,Orange juice frozen concentrate 12 oz. can per 16 oz. (473.2 ml),2022,2.621,2.754,2.696,2.770,2.856,2.887,2.889,2.751,2.777,2.744,2.672,2.718
196,196,Beans dried any type all sizes per lb. (453.6 gm),2018,1.327,1.316,1.306,1.308,1.378,1.358,1.342,1.355,1.335,1.351,1.364,1.368
197,197,Beans dried any type all sizes per lb. (453.6 gm),2019,1.343,1.342,1.335,1.339,1.298,1.316,1.345,1.329,1.324,1.347,1.410,1.402
198,198,Beans dried any type all sizes per lb. (453.6 gm),2020,1.432,1.461,1.488, , ,1.422,1.415,1.445,1.424,1.410,1.391,1.404
199,199,Beans dried any type all sizes per lb. (453.6 gm),2021,1.433,1.448,1.459,1.457,1.420,1.421,1.426,1.429,1.445,1.460,1.474,1.504
200,200,Beans dried any type all sizes per lb. (453.6 gm),2022,1.509,1.546,1.625,1.628,1.640,1.639,1.673,1.677,1.677,1.675,1.664,1.700
201,201,Sugar white all sizes per lb. (453.6 gm),2018,0.623,0.622,0.612,0.617,0.628,0.629,0.630,0.628,0.629,0.602,0.602,0.573
202,202,Sugar white all sizes per lb. (453.6 gm),2019,0.595,0.592,0.596,0.591,0.580,0.586,0.589,0.589,0.596,0.589,0.589,0.589
203,203,Sugar white all sizes per lb. (453.6 gm),2020,0.603,0.612,0.621,0.640,0.647,0.626,0.627,0.629,0.630,0.634,0.660,0.674
204,204,Sugar white all sizes per lb. (453.6 gm),2021,0.682,0.680,0.675,0.675,0.675,0.675,0.686,0.681,0.688,0.713,0.687,0.691
205,205,Sugar white all sizes per lb. (453.6 gm),2022,0.706,0.718,0.739,0.740,0.745,0.765,0.791,0.821,0.837,0.846,0.846,0.844
206,206,Sugar white 33-80 oz. pkg per lb. (453.6 gm),2018, , , , , , , , , , ,0.582,0.549
207,207,Sugar white 33-80 oz. pkg per lb. (453.6 gm),2019,0.576,0.565,0.573,0.561,0.563,0.569,0.575,0.576,0.588,0.575,0.562,0.558
208,208,Sugar white 33-80 oz. pkg per lb. (453.6 gm),2020,0.575,0.584,0.597,0.607,0.622,0.597,0.605,0.606,0.604,0.603,0.624,0.642
209,209,Sugar white 33-80 oz. pkg per lb. (453.6 gm),2021,0.652,0.654,0.648,0.644,0.641,0.648,0.647,0.647,0.652,0.666,0.628,0.633
210,210,Sugar white 33-80 oz. pkg per lb. (453.6 gm),2022,0.649,0.661,0.675,0.673,0.683,0.705,0.734,0.772,0.791,0.793, , 
211,211,Margarine soft tubs per lb. (453.6 gm),2018,1.671,1.677,1.672,1.657,1.623,1.623,1.635,1.655,1.686,1.600,1.564,1.567
212,212,Margarine soft tubs per lb. (453.6 gm),2019,1.575,1.556,1.579,1.566,1.579,1.689,1.686,1.649,1.745,1.728, , 
213,213,Coffee 100% ground roast all sizes per lb. (453.6 gm),2018,4.291,4.267,4.343,4.313,4.294, , , ,4.306, , , 
214,214,Coffee 100% ground roast all sizes per lb. (453.6 gm),2019, , , , , , , , , ,4.174,4.197,4.053
215,215,Coffee 100% ground roast all sizes per lb. (453.6 gm),2020,4.174,4.250,4.334,4.396,4.466,4.517,4.536,4.504,4.487,4.522,4.485,4.520
216,216,Coffee 100% ground roast all sizes per lb. (453.6 gm),2021,4.591,4.673,4.671,4.752,4.566,4.605,4.562,4.726,4.733,4.800,4.816,4.965
217,217,Coffee 100% ground roast all sizes per lb. (453.6 gm),2022,5.135,5.247,5.410,5.529,5.835,5.793,6.112,6.235,6.170,6.408,6.356,6.465
218,218,Chicken breast boneless per lb. (453.6 gm),2018,3.073,3.119,3.142,3.238,3.076,3.094,3.116,2.939,2.896,3.047,3.052,3.112
219,219,Chicken breast boneless per lb. (453.6 gm),2019,3.063,3.062,3.048,3.014,3.092,3.051,2.975,2.960,2.930,2.948,2.940,3.113
220,220,Chicken breast boneless per lb. (453.6 gm),2020,3.059,3.013,2.956,3.158,3.348,3.349,3.221,3.276,3.302,3.290,3.412,3.293
221,221,Chicken breast boneless per lb. (453.6 gm),2021,3.260,3.239,3.291,3.406,3.371,3.353,3.500,3.536,3.517,3.589,3.618,3.725
222,222,Chicken breast boneless per lb. (453.6 gm),2022,3.726,3.815,3.870,4.096,4.310,4.568,4.608,4.706,4.746,4.670,4.420,4.348
223,223,Milk fresh low-fat reduced fat skim per gal. (3.8 lit),2018, , , ,2.658,2.616,2.627,2.567,2.588,2.573,2.625,2.648,2.629
224,224,Milk fresh low-fat reduced fat skim per gal. (3.8 lit),2019,2.631,2.656,2.670,2.694,2.683,2.672,2.674,2.702,2.742,2.818,2.818,2.872
225,225,Milk fresh low-fat reduced fat skim per gal. (3.8 lit),2020,2.953,2.882,2.913,2.901,2.877,2.811,2.826,3.038,3.017,2.928,3.002,3.118
226,226,Milk fresh low-fat reduced fat skim per gal. (3.8 lit),2021,3.045,3.008,2.966,3.045,3.078,3.165,3.168,3.172,3.165,3.187,3.288,3.359
227,227,Milk fresh low-fat reduced fat skim per gal. (3.8 lit),2022,3.393,3.514,3.584,3.682,3.827,3.869,3.874,3.888,3.808,3.836,3.842,3.845
228,228,Yogurt per 8 oz. (226.8 gm),2018, , , ,1.057,1.059,1.061,1.074,1.073,1.066,1.043,1.062,1.077
229,229,Yogurt per 8 oz. (226.8 gm),2019,1.070,1.062,1.102,1.087,1.114,1.126,1.144,1.137,1.150,1.109,1.135,1.148
230,230,Yogurt per 8 oz. (226.8 gm),2020,1.108,1.169,1.176,1.197,1.232,1.237,1.216,1.225,1.200,1.215,1.235,1.254
231,231,Yogurt per 8 oz. (226.8 gm),2021,1.224,1.228,1.197,1.182,1.215,1.209,1.251,1.212,1.228,1.223,1.250,1.265
232,232,Yogurt per 8 oz. (226.8 gm),2022,1.281,1.303,1.350,1.350,1.400,1.366,1.440,1.407,1.441,1.420,1.489,1.472
233,233,Lettuce romaine per lb. (453.6 gm),2018,2.127,2.072,2.064,2.129,2.039,1.937,2.056,2.043,2.058,2.132,2.170,2.352
234,234,Lettuce romaine per lb. (453.6 gm),2019,2.177,2.300,2.356,2.300,2.190,2.115,2.207,2.162,2.059,2.203,2.214,2.176
235,235,Lettuce romaine per lb. (453.6 gm),2020,2.160,2.029, , , , , , , , , , 
236,236,Lettuce romaine per lb. (453.6 gm),2021, , , , , , , , , , , ,3.269
237,237,Lettuce romaine per lb. (453.6 gm),2022,3.178,3.182,3.154,3.187,2.993,2.973,2.927,2.841,3.003,3.138,3.487,3.568
